Customer ID,Customer Name,FirstOrder,LastOrder,OrderCount,TotalSales,AvgOrderValue,FirstOrderMonth,LastOrderMonth,DaysSinceLastOrder,RepeatCustomer,FirstOrderYearMonth,SortMonth
HP-14815,Harold Pawlan,"Wednesday, 6 May 2015","Friday, 30 November 2018",10,1990.314,199.0314,May 2015,Nov 2018,2569,Repeat Buyer,01/05/2015 12:00:00 AM,201505
BS-11590,Brendan Sweed,"Wednesday, 14 January 2015","Sunday, 25 November 2018",10,2454.928,245.4928,Jan 2015,Nov 2018,2574,Repeat Buyer,01/01/2015 12:00:00 AM,201501
KD-16345,Katherine Ducich,"Wednesday, 2 September 2015","Monday, 19 November 2018",10,1888.964,188.8964,Sep 2015,Nov 2018,2580,Repeat Buyer,01/09/2015 12:00:00 AM,201509
PF-19165,Philip Fox,"Sunday, 20 September 2015","Sunday, 17 June 2018",10,2770,277,Sep 2015,Jun 2018,2735,Repeat Buyer,01/09/2015 12:00:00 AM,201509
DW-13585,Dorothy Wardle,"Monday, 24 August 2015","Wednesday, 2 May 2018",10,1204.854,120.4854,Aug 2015,May 2018,2781,Repeat Buyer,01/08/2015 12:00:00 AM,201508
MG-17680,Maureen Gastineau,"Thursday, 22 October 2015","Saturday, 29 September 2018",10,2350.188,235.0188,Oct 2015,Sep 2018,2631,Repeat Buyer,01/10/2015 12:00:00 AM,201510
DB-13060,Dave Brooks,"Sunday, 1 March 2015","Friday, 14 December 2018",10,4151.51,415.151,Mar 2015,Dec 2018,2555,Repeat Buyer,01/03/2015 12:00:00 AM,201503
NP-18670,Nora Paige,"Saturday, 27 February 2016","Friday, 2 November 2018",10,3908.402,390.8402,Feb 2016,Nov 2018,2597,Repeat Buyer,01/02/2016 12:00:00 AM,201602
MZ-17515,Mary Zewe,"Saturday, 4 April 2015","Friday, 23 March 2018",10,2564.906,256.4906,Apr 2015,Mar 2018,2821,Repeat Buyer,01/04/2015 12:00:00 AM,201504
RC-19825,Roy Collins,"Saturday, 5 December 2015","Tuesday, 26 December 2017",10,966.409,96.6409,Dec 2015,Dec 2017,2908,Repeat Buyer,01/12/2015 12:00:00 AM,201512
VB-21745,Victoria Brennan,"Sunday, 17 July 2016","Tuesday, 6 November 2018",10,2005.596,200.5596,Jul 2016,Nov 2018,2593,Repeat Buyer,01/07/2016 12:00:00 AM,201607
KW-16435,Katrina Willman,"Wednesday, 24 August 2016","Tuesday, 25 September 2018",10,4416.52,441.652,Aug 2016,Sep 2018,2635,Repeat Buyer,01/08/2016 12:00:00 AM,201608
RF-19840,Roy Französisch,"Thursday, 12 November 2015","Monday, 24 December 2018",10,938.862,93.8862,Nov 2015,Dec 2018,2545,Repeat Buyer,01/11/2015 12:00:00 AM,201511
CM-12385,Christopher Martinez,"Wednesday, 16 March 2016","Friday, 23 November 2018",10,8954.02,895.402,Mar 2016,Nov 2018,2576,Repeat Buyer,01/03/2016 12:00:00 AM,201603
KB-16240,Karen Bern,"Tuesday, 31 March 2015","Wednesday, 26 December 2018",10,3152.615,315.2615,Mar 2015,Dec 2018,2543,Repeat Buyer,01/03/2015 12:00:00 AM,201503
BD-11500,Bradley Drucker,"Sunday, 1 February 2015","Sunday, 25 November 2018",10,4411.243,441.1243,Feb 2015,Nov 2018,2574,Repeat Buyer,01/02/2015 12:00:00 AM,201502
OT-18730,Olvera Toch,"Wednesday, 20 April 2016","Friday, 26 October 2018",10,3818.624,381.8624,Apr 2016,Oct 2018,2604,Repeat Buyer,01/04/2016 12:00:00 AM,201604
TG-21640,Trudy Glocke,"Tuesday, 31 March 2015","Friday, 7 September 2018",10,2074.661,207.4661,Mar 2015,Sep 2018,2653,Repeat Buyer,01/03/2015 12:00:00 AM,201503
BD-11725,Bruce Degenhardt,"Sunday, 3 July 2016","Friday, 28 September 2018",10,1526.5,152.65,Jul 2016,Sep 2018,2632,Repeat Buyer,01/07/2016 12:00:00 AM,201607
AS-10240,Alan Shonely,"Sunday, 15 March 2015","Thursday, 21 June 2018",10,503.968,50.3968,Mar 2015,Jun 2018,2731,Repeat Buyer,01/03/2015 12:00:00 AM,201503
SC-20305,Sean Christensen,"Wednesday, 27 January 2016","Saturday, 1 December 2018",10,3650.473,365.0473,Jan 2016,Dec 2018,2568,Repeat Buyer,01/01/2016 12:00:00 AM,201601
SP-20545,Sibella Parks,"Tuesday, 13 October 2015","Tuesday, 6 February 2018",10,1306.086,130.6086,Oct 2015,Feb 2018,2866,Repeat Buyer,01/10/2015 12:00:00 AM,201510
PO-19195,Phillina Ober,"Sunday, 4 January 2015","Friday, 5 October 2018",10,1056.858,105.6858,Jan 2015,Oct 2018,2625,Repeat Buyer,01/01/2015 12:00:00 AM,201501
EM-14095,Eudokia Martin,"Sunday, 7 August 2016","Saturday, 8 September 2018",10,1041.042,104.1042,Aug 2016,Sep 2018,2652,Repeat Buyer,01/08/2016 12:00:00 AM,201608
LL-16840,Lauren Leatherbury,"Wednesday, 29 April 2015","Wednesday, 25 April 2018",10,2454.554,245.4554,Apr 2015,Apr 2018,2788,Repeat Buyer,01/04/2015 12:00:00 AM,201504
JR-16210,Justin Ritter,"Sunday, 18 September 2016","Tuesday, 27 November 2018",10,2201.686,220.1686,Sep 2016,Nov 2018,2572,Repeat Buyer,01/09/2016 12:00:00 AM,201609
JM-15535,Jessica Myrick,"Sunday, 13 September 2015","Wednesday, 19 September 2018",10,1733.443,173.3443,Sep 2015,Sep 2018,2641,Repeat Buyer,01/09/2015 12:00:00 AM,201509
KC-16255,Karen Carlisle,"Tuesday, 8 September 2015","Saturday, 18 November 2017",10,2120.954,212.0954,Sep 2015,Nov 2017,2946,Repeat Buyer,01/09/2015 12:00:00 AM,201509
MT-17815,Meg Tillman,"Sunday, 6 November 2016","Sunday, 11 November 2018",10,2890.139,289.0139,Nov 2016,Nov 2018,2588,Repeat Buyer,01/11/2016 12:00:00 AM,201611
BT-11395,Bill Tyler,"Wednesday, 28 October 2015","Saturday, 3 March 2018",10,2186.613,218.6613,Oct 2015,Mar 2018,2841,Repeat Buyer,01/10/2015 12:00:00 AM,201510
CY-12745,Craig Yedwab,"Saturday, 12 December 2015","Wednesday, 31 October 2018",10,2004.082,200.4082,Dec 2015,Oct 2018,2599,Repeat Buyer,01/12/2015 12:00:00 AM,201512
AP-10720,Anne Pryor,"Tuesday, 3 March 2015","Monday, 19 November 2018",10,545.932,54.5932,Mar 2015,Nov 2018,2580,Repeat Buyer,01/03/2015 12:00:00 AM,201503
CA-12055,Cathy Armstrong,"Monday, 5 September 2016","Friday, 24 November 2017",10,1679.724,167.9724,Sep 2016,Nov 2017,2940,Repeat Buyer,01/09/2016 12:00:00 AM,201609
BT-11530,Bradley Talbott,"Thursday, 21 May 2015","Sunday, 30 September 2018",10,2684.492,268.4492,May 2015,Sep 2018,2630,Repeat Buyer,01/05/2015 12:00:00 AM,201505
PF-19225,Phillip Flathmann,"Monday, 26 June 2017","Friday, 7 September 2018",10,2206.128,220.6128,Jun 2017,Sep 2018,2653,Repeat Buyer,01/06/2017 12:00:00 AM,201706
BD-11770,Bryan Davis,"Friday, 10 March 2017","Tuesday, 6 February 2018",10,658.466,65.8466,Mar 2017,Feb 2018,2866,Repeat Buyer,01/03/2017 12:00:00 AM,201703
TC-21535,Tracy Collins,"Tuesday, 3 November 2015","Wednesday, 26 December 2018",10,742.558,74.2558,Nov 2015,Dec 2018,2543,Repeat Buyer,01/11/2015 12:00:00 AM,201511
MN-17935,Michael Nguyen,"Monday, 16 February 2015","Monday, 26 November 2018",10,2477.946,247.7946,Feb 2015,Nov 2018,2573,Repeat Buyer,01/02/2015 12:00:00 AM,201502
AS-10045,Aaron Smayling,"Monday, 27 July 2015","Wednesday, 3 October 2018",10,3050.692,305.0692,Jul 2015,Oct 2018,2627,Repeat Buyer,01/07/2015 12:00:00 AM,201507
HA-14905,Helen Abelman,"Tuesday, 30 June 2015","Monday, 22 October 2018",10,2163.3,216.33,Jun 2015,Oct 2018,2608,Repeat Buyer,01/06/2015 12:00:00 AM,201506
SC-20440,Shaun Chance,"Wednesday, 17 August 2016","Saturday, 24 November 2018",10,1874.998,187.4998,Aug 2016,Nov 2018,2575,Repeat Buyer,01/08/2016 12:00:00 AM,201608
MC-17425,Mark Cousins,"Saturday, 30 May 2015","Sunday, 26 November 2017",10,4432.138,443.2138,May 2015,Nov 2017,2938,Repeat Buyer,01/05/2015 12:00:00 AM,201505
MB-18085,Mick Brown,"Monday, 5 January 2015","Friday, 16 November 2018",10,1428.231,142.8231,Jan 2015,Nov 2018,2583,Repeat Buyer,01/01/2015 12:00:00 AM,201501
GH-14425,Gary Hwang,"Wednesday, 17 June 2015","Saturday, 10 November 2018",10,4172.846,417.2846,Jun 2015,Nov 2018,2589,Repeat Buyer,01/06/2015 12:00:00 AM,201506
JW-15955,Joni Wasserman,"Tuesday, 16 August 2016","Tuesday, 25 December 2018",10,1049.238,104.9238,Aug 2016,Dec 2018,2544,Repeat Buyer,01/08/2016 12:00:00 AM,201608
BE-11455,Brad Eason,"Tuesday, 2 August 2016","Tuesday, 5 September 2017",10,748.026,74.8026,Aug 2016,Sep 2017,3020,Repeat Buyer,01/08/2016 12:00:00 AM,201608
